id,title,avgvote,releaseyear,tagline,budget,revenue,genres
"10163","The Lawnmower Man","6.4","1992","God made him simple. Science made him a god.","10000000","32100816","Horror|Science Fiction|Thriller"
"15877","The Sky Crawlers","7.5","2008",,,,"Action|Adventure|Animation"
"45569","Red Hill","6.4","2010","Revenge just rode into town",,"324424","Action|Thriller|Western"
"101669","Mother's Day","6.5","2010","Don't Misbehave","11000000","863000","Crime|Drama|Horror|Thriller"
"455","Bend It Like Beckham","5.9","2003","Who wants to cook Aloo Gobi when you can bend a ball like Beckham?","3500159","76578641","Comedy|Drama|Romance"
"1587","What's Eating Gilbert Grape","7.1","1993","A film about the love you find...In the last place you look.","11000000","10000000","Comedy|Drama|Indie|Romance"
"10166","The Witches","6.4","1990","Saving the world from witches is a tall order for a boy they've turned into a mouse!","11000000","15400000","Adventure|Comedy|Family|Fantasy|Horror|Science Fiction"
"45610","Machine Gun Preacher","6.7","2011","Hope is the greatest weapon of all","30000000","2527904","Action|Crime|Thriller"
"1588","Bring It On","5.5","2000","May the best moves win.","28000000","90449929","Comedy|Family"
"10167","Half Past Dead","5.3","2002",,"25000000","19233280","Action|Crime|Thriller"
"45612","Source Code","6.8","2011","Make Every Second Count","32000000","147332697","Mystery|Science Fiction|Thriller"
"10172","Are We Done Yet?","4.6","2007",,,"58400000","Comedy|Drama|Family"
"45649","Rubber","6.4","2010","Are you TIRED of the expected?","500000","98017","Comedy|Drama|Fantasy|Horror|Mystery"
"158907","Breathe In","6.8","2013",,,"89661","Drama"
"4564","Sex and the City","6.0","2008","Get carried away.","65000000","418800000","Comedy|Drama|Romance"
